iter	Passed	Remaining
0	3	3328
1	6	3351
2	9	3234
3	13	3277
4	16	3306
5	19	3287
6	22	3232
7	26	3293
8	29	3238
9	32	3196
10	35	3196
11	38	3162
12	41	3170
13	44	3143
14	47	3129
15	51	3141
16	54	3155
17	57	3136
18	62	3208
19	66	3234
20	72	3374
21	79	3531
22	83	3545
23	87	3541
24	90	3516
25	93	3520
26	97	3496
27	100	3502
28	103	3479
29	107	3484
30	110	3456
31	114	3453
32	117	3433
33	120	3425
34	123	3412
35	127	3404
36	129	3380
37	133	3382
38	136	3362
39	139	3344
40	142	3328
41	145	3313
42	148	3299
43	152	3304
44	154	3289
45	156	3248
46	162	3290
47	166	3302
48	170	3313
49	175	3340
50	179	3332
51	183	3343
52	186	3340
53	189	3327
54	193	3317
55	196	3319
56	200	3318
57	203	3307
58	206	3300
59	210	3294
60	213	3287
61	217	3295
62	220	3285
63	224	3284
64	227	3274
65	229	3247
66	232	3243
67	235	3233
68	239	3225
69	241	3213
70	245	3207
71	248	3200
72	251	3192
73	254	3189
74	257	3178
75	261	3176
76	264	3169
77	267	3166
78	270	3158
79	274	3153
80	277	3151
81	280	3144
82	284	3140
83	287	3132
84	290	3123
85	293	3114
86	296	3108
87	299	3103
88	302	3096
89	306	3095
90	309	3086
91	312	3085
92	315	3077
93	318	3072
94	322	3068
95	325	3063
96	328	3058
97	331	3055
98	334	3046
99	337	3039
100	342	3051
101	346	3046
102	349	3043
103	352	3035
104	355	3031
105	358	3026
106	361	3018
107	365	3014
108	367	3007
109	370	3000
110	373	2993
111	377	2991
112	380	2983
113	382	2975
114	385	2969
115	389	2970
116	393	2966
117	396	2964
118	399	2957
119	402	2950
120	405	2946
121	409	2944
122	412	2938
123	415	2933
124	418	2931
125	421	2925
126	424	2915
127	427	2909
128	430	2904
129	433	2898
130	436	2897
131	439	2891
132	443	2888
133	446	2883
134	449	2878
135	452	2872
136	455	2869
137	458	2864
138	461	2860
139	464	2855
140	467	2849
141	470	2843
142	474	2844
143	477	2840
144	480	2834
145	483	2830
146	487	2828
147	490	2823
148	493	2821
149	496	2815
150	499	2810
151	503	2806
152	505	2801
153	508	2795
154	511	2790
155	514	2784
156	517	2780
157	520	2776
158	523	2770
159	527	2769
160	530	2765
161	533	2761
162	536	2756
163	539	2751
164	542	2746
165	546	2744
166	549	2740
167	552	2734
168	555	2732
169	558	2727
170	561	2723
171	564	2716
172	567	2710
173	570	2706
174	573	2703
175	577	2702
176	579	2695
177	582	2689
178	585	2683
179	588	2679
180	593	2683
181	598	2691
182	603	2696
183	607	2694
184	610	2688
185	613	2684
186	616	2679
187	619	2673
188	622	2670
189	625	2666
190	628	2661
191	631	2656
192	634	2653
193	637	2647
194	640	2644
195	643	2639
196	646	2634
197	649	2629
198	652	2625
199	654	2619
200	657	2613
201	660	2610
202	663	2604
203	666	2600
204	669	2594
205	672	2590
206	674	2585
207	677	2581
208	680	2576
209	683	2571
210	686	2565
211	689	2562
212	692	2556
213	694	2552
214	697	2547
215	700	2542
216	703	2536
217	706	2533
218	709	2528
219	711	2523
220	714	2518
221	717	2514
222	720	2509
223	723	2507
224	726	2502
225	729	2497
226	731	2492
227	734	2487
228	737	2482
229	740	2477
230	743	2474
231	746	2470
232	749	2467
233	752	2463
234	755	2458
235	757	2453
236	760	2448
237	763	2444
238	766	2440
239	769	2436
240	772	2433
241	775	2428
242	778	2424
243	781	2421
244	784	2417
245	787	2412
246	790	2408
247	792	2403
248	795	2399
249	798	2395
250	801	2391
251	804	2387
252	807	2382
253	810	2380
254	813	2378
255	816	2374
256	820	2370
257	822	2366
258	825	2362
259	828	2359
260	831	2354
261	834	2350
262	837	2345
263	840	2342
264	843	2338
265	846	2334
266	849	2331
267	851	2326
268	854	2322
269	857	2318
270	860	2313
271	863	2309
272	865	2305
273	868	2301
274	871	2297
275	873	2292
276	876	2288
277	879	2283
278	882	2279
279	885	2276
280	887	2272
281	890	2267
282	893	2263
283	896	2259
284	899	2256
285	902	2252
286	905	2249
287	908	2245
288	911	2242
289	914	2239
290	917	2235
291	920	2231
292	923	2227
293	926	2223
294	928	2220
295	932	2218
296	935	2214
297	938	2210
298	941	2206
299	944	2203
300	946	2198
301	952	2201
302	955	2197
303	958	2193
304	961	2191
305	964	2187
306	967	2184
307	970	2180
308	973	2177
309	976	2173
310	979	2169
311	982	2165
312	984	2161
313	987	2157
314	990	2153
315	993	2149
316	997	2149
317	1001	2147
318	1003	2143
319	1007	2140
320	1010	2137
321	1013	2133
322	1016	2129
323	1019	2126
324	1021	2122
325	1024	2118
326	1027	2114
327	1030	2110
328	1032	2106
329	1035	2102
330	1038	2098
331	1041	2095
332	1043	2091
333	1046	2087
334	1049	2082
335	1051	2078
336	1055	2076
337	1058	2072
338	1061	2068
339	1065	2067
340	1067	2063
341	1070	2060
342	1073	2056
343	1076	2052
344	1079	2049
345	1082	2045
346	1085	2042
347	1087	2038
348	1090	2034
349	1093	2030
350	1096	2027
351	1099	2024
352	1102	2020
353	1105	2016
354	1107	2012
355	1110	2008
356	1113	2005
357	1116	2001
358	1118	1997
359	1122	1995
360	1125	1991
361	1128	1988
362	1131	1984
363	1133	1981
364	1136	1977
365	1139	1974
366	1142	1970
367	1145	1966
